Industry,Company,URL,Score,Risk,Pages,Forms,Widgets,Critical,Serious,Moderate,Minor,TotalInstances,AuditLow,AuditMid,AuditHigh,FixLow,FixMid,FixHigh,RebuildLow,RebuildMid,RebuildHigh,MarketBuildLow,MarketBuildMid,MarketBuildHigh,PricingFlags
Hotels & Hospitality,Lark Hotels,https://larkhotels.com,86,MODERATE,15,2,2,2,0,1,0,9,1100,1300,1500,2400,2900,3400,9000,11200,13400,12500,16500,22500,
Hotels & Hospitality,Kimpton Hotels,https://kimptonhotels.com,94,LOW,15,2,2,1,0,1,1,12,1100,1300,1500,2100,2500,3000,9000,11200,13400,12500,16500,22500,
Hotels & Hospitality,The Driskill Austin,https://driskillhotel.com,73,HIGH,15,2,2,6,0,0,0,13,1100,1300,1500,3600,4400,5200,9000,11200,13400,12500,16500,22500,
Hotels & Hospitality,Arlo Hotels,https://arlohotels.com,97,LOW,15,2,2,1,0,0,0,2,1100,1300,1500,2000,2400,2800,9000,11200,13400,12500,16500,22500,
Hotels & Hospitality,The Dean Collection,https://thedeancollection.com,81,MODERATE,1,0,0,2,0,1,0,3,400,500,600,2400,2900,3400,6400,8000,9600,4000,5500,7500,audit-too-low|rebuild-overpriced
Hotels & Hospitality,Proper Hotels,https://theproperhotel.com,80,MODERATE,1,0,0,2,0,1,0,3,400,500,600,2400,2900,3400,6400,8000,9600,4000,5500,7500,audit-too-low|rebuild-overpriced
Hotels & Hospitality,Ace Hotel,https://acehotel.com,92,LOW,15,2,2,1,0,0,0,16,1100,1300,1500,2000,2400,2800,9000,11200,13400,12500,16500,22500,
Hotels & Hospitality,Wythe Hotel,https://wythehotel.com,98,LOW,64,1,0,0,0,1,0,1,3200,3700,4300,1700,2100,2400,21600,27000,32400,31000,41500,55500,
Hotels & Hospitality,Auberge Resorts,https://aubergeresorts.com,97,LOW,15,2,2,1,0,0,0,4,1100,1300,1500,2000,2400,2800,9000,11200,13400,12500,16500,22500,
Auto Dealerships,Schomp Automotive,https://www.schompauto.com,81,MODERATE,1,0,0,2,0,1,0,3,400,500,600,2400,2900,3400,6400,8000,9600,3500,4500,6000,audit-too-low|rebuild-overpriced
Auto Dealerships,Serra Automotive,https://www.serraautomotive.com,80,MODERATE,500,1,0,5,0,1,0,29,14100,16600,19100,3300,4100,4800,28000,35000,42000,39000,51500,70000,
Auto Dealerships,Bergstrom Automotive,https://www.bergstromauto.com,90,LOW,500,1,0,3,0,1,0,21,15600,18400,21100,2700,3300,3900,28000,35000,42000,39000,51500,70000,
Auto Dealerships,Ken Garff Automotive,https://www.kengarff.com,83,MODERATE,15,2,2,5,0,0,0,38,1100,1300,1500,3300,4000,4700,9000,11200,13400,10500,14000,18500,
Auto Dealerships,Tasca Automotive,https://www.tasca.com,90,LOW,15,2,2,3,0,1,0,12,1100,1300,1500,2700,3300,3900,9000,11200,13400,10500,14000,18500,
Auto Dealerships,Crown Automotive,https://www.crownauto.com,88,MODERATE,500,2,1,3,0,0,0,10,13300,15700,18000,2600,3200,3800,28000,35000,42000,39000,51500,70000,
Auto Dealerships,Joe Machens Dealerships,https://www.machens.com,95,LOW,500,1,0,1,0,1,0,6,16400,19300,22200,2000,2500,2900,28000,35000,42000,39000,51500,70000,
Auto Dealerships,Findlay Automotive,https://www.findlayauto.com,94,LOW,1,0,0,1,0,1,0,17,900,1100,1300,2000,2500,2900,6400,8000,9600,3500,4500,6000,rebuild-overpriced
Senior Care / Assisted Living,Sonida Senior Living,https://www.sonidaseniorliving.com,86,MODERATE,7,0,0,4,0,0,0,5,600,700,800,3000,3600,4200,7400,9300,11200,6500,9000,12000,
Senior Care / Assisted Living,Watermark Retirement Communities,https://www.watermarkcommunities.com,99,LOW,315,0,0,0,0,1,1,7,19500,22900,26400,1700,2100,2500,28000,35000,42000,42000,56500,76000,
Senior Care / Assisted Living,Milestone Retirement Communities,https://www.milestoneretirement.com,90,LOW,5,0,0,2,0,2,0,21,1600,1900,2200,2400,3000,3500,11200,14000,16800,4000,5000,7000,rebuild-overpriced
Senior Care / Assisted Living,Frontier Senior Living,https://www.frontierseniorliving.com,75,HIGH,5,3,1,4,0,2,0,38,1800,2200,2500,3100,3800,4400,11000,13800,16600,4000,5000,7000,fix-exceeds-build|rebuild-overpriced
Senior Care / Assisted Living,The Springs Living,https://www.thesprings.com,90,LOW,5,0,0,2,0,1,0,3,500,600,700,2400,2900,3400,6800,8500,10100,4000,5000,7000,rebuild-overpriced
Senior Care / Assisted Living,Senior Resource Group,https://www.srg-llc.com,92,LOW,5,3,1,3,0,0,2,15,3100,3600,4200,2700,3300,3800,17800,22200,26600,4000,5000,7000,rebuild-overpriced
Senior Care / Assisted Living,American Senior Living,https://www.americanseniorliving.com,100,LOW,5,0,0,0,0,0,0,0,400,500,600,1600,2000,2400,6400,8000,9600,4000,5000,7000,audit-too-low|rebuild-overpriced
Senior Care / Assisted Living,Concord Senior Living,https://www.concordseniorliving.com,79,HIGH,3,0,0,2,0,1,0,7,500,500,600,2400,2900,3400,6500,8200,9800,4000,5000,7000,rebuild-overpriced
Mid-Market E-Commerce (DTC),Bombas,https://bombas.com,82,MODERATE,15,2,2,3,0,2,0,7,1100,1300,1500,2700,3400,4000,9000,11200,13400,12500,17000,22500,
Mid-Market E-Commerce (DTC),Brooklinen,https://brooklinen.com,94,LOW,5,4,0,1,1,2,1,27,1700,2000,2300,2300,2800,3300,11100,13900,16700,4000,5500,7500,rebuild-overpriced
Mid-Market E-Commerce (DTC),Caraway,https://carawayhome.com,85,MODERATE,15,2,2,3,0,1,0,25,1100,1300,1500,2700,3300,3900,9000,11200,13400,12500,17000,22500,
Mid-Market E-Commerce (DTC),Manduka,https://manduka.com,92,LOW,15,2,2,1,1,1,1,84,1100,1300,1500,2200,2700,3200,9000,11200,13400,12500,17000,22500,
Mid-Market E-Commerce (DTC),Outdoor Voices,https://outdoorvoices.com,97,LOW,6,3,0,1,0,0,0,11,1500,1800,2000,2000,2400,2800,9800,12200,14600,7500,10000,13000,rebuild-overpriced
Mid-Market E-Commerce (DTC),Four Sigmatic,https://foursigmatic.com,90,LOW,15,2,2,2,2,0,0,158,1100,1300,1500,2600,3200,3800,9000,11200,13400,12500,17000,22500,
Mid-Market E-Commerce (DTC),Branch Furniture,https://branchfurniture.com,90,LOW,15,2,2,1,0,0,0,56,1100,1300,1500,2000,2400,2800,9000,11200,13400,12500,17000,22500,
Mid-Market E-Commerce (DTC),Pela Case,https://pelacase.com,88,MODERATE,37,13,1,3,1,0,0,19,11800,13900,16000,2800,3400,4000,28000,35000,42000,21000,28000,38000,rebuild-overpriced
Mid-Market E-Commerce (DTC),Beardbrand,https://beardbrand.com,100,LOW,5,3,0,0,1,1,0,22,5500,6500,7500,1900,2300,2700,28000,35000,42000,4000,5500,7500,rebuild-overpriced
Mid-Market E-Commerce (DTC),Ekster,https://ekster.com,91,LOW,33,4,0,1,1,1,0,6,12600,14800,17000,2200,2700,3200,28000,35000,42000,21000,28000,38000,rebuild-overpriced
